City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,weisswasser,51.5167,14.6333,5.88,72,71,3.84,DE,12-18-2023
1,nova sintra,14.8667,-24.7167,21.92,66,99,5.51,CV,12-18-2023
2,fairborn,39.8209,-84.0194,3.36,74,75,11.32,US,12-18-2023
3,puerto ayora,-0.7393,-90.3518,28.98,91,80,2.68,EC,12-18-2023
4,nagqu,31.5,92.0,-22.78,80,0,1.37,CN,12-18-2023
5,funafuti,-8.5243,179.1942,27.0,89,40,0.0,TV,12-18-2023
6,mejit,10.2753,170.8646,26.93,78,43,11.46,MH,12-18-2023
7,grytviken,-54.2811,-36.5092,3.28,71,15,1.9,GS,12-18-2023
8,adamstown,-25.066,-130.1015,22.67,80,100,7.04,PN,12-18-2023
9,edinburgh of the seven seas,-37.0676,-12.3116,14.47,71,9,5.74,SH,12-18-2023
10,upington,-28.4478,21.2561,38.21,6,20,5.66,ZA,12-18-2023
11,bredasdorp,-34.5322,20.0403,19.63,52,17,5.93,ZA,12-18-2023
12,kuta,-8.7233,115.1723,26.97,74,20,1.54,ID,12-18-2023
13,invercargill,-46.4,168.35,7.91,89,99,1.76,NZ,12-18-2023
14,arno,60.1167,18.6333,2.66,97,68,4.42,SE,12-18-2023
15,port-aux-francais,-49.35,70.2167,6.21,88,100,15.51,TF,12-18-2023
16,olonkinbyen,70.9221,-8.7187,-2.81,76,100,4.87,SJ,12-18-2023
17,bilibino,68.0546,166.4372,-33.54,99,99,0.38,RU,12-18-2023
18,terenozek,45.05,64.9833,2.37,89,100,6.8,KZ,12-18-2023
19,gamba,-2.65,10.0,27.2,81,92,2.93,GA,12-18-2023
20,yellowknife,62.456,-114.3525,-14.21,89,100,4.92,CA,12-18-2023
21,codrington,-38.2667,141.9667,13.31,93,35,5.34,AU,12-18-2023
22,avarua,-21.2078,-159.775,24.03,88,75,5.14,CK,12-18-2023
23,stanley,54.868,-1.6985,12.93,88,75,8.23,GB,12-18-2023
24,hawaiian paradise park,19.5933,-154.9731,19.73,98,100,0.0,US,12-18-2023
25,bethel,41.3712,-73.414,16.36,87,100,3.6,US,12-18-2023
26,badger,64.8,-147.5333,-12.02,88,100,0.0,US,12-18-2023
27,papatowai,-46.5619,169.4708,10.44,72,100,1.01,NZ,12-18-2023
28,waitangi,-43.9535,-176.5597,11.57,74,13,5.45,NZ,12-18-2023
29,nantucket,41.2835,-70.0995,14.06,94,100,14.92,US,12-18-2023
30,el calafate,-50.3408,-72.2768,14.03,53,51,4.31,AR,12-18-2023
31,newman,37.3138,-121.0208,10.19,88,88,2.56,US,12-18-2023
32,nemuro,43.3236,145.575,-5.85,68,12,9.58,JP,12-18-2023
33,prince rupert,54.3161,-130.3201,4.83,97,100,3.6,CA,12-18-2023
34,hafar al-batin,28.4328,45.9708,17.32,34,0,2.06,SA,12-18-2023
35,st. john's,47.5649,-52.7093,6.66,73,75,8.75,CA,12-18-2023
36,loukhi,66.0764,33.0381,-8.72,92,49,3.04,RU,12-18-2023
37,santiago citendeje,19.7814,-99.9292,12.97,35,31,1.1,MX,12-18-2023
38,punta arenas,-53.15,-70.9167,15.06,55,0,10.8,CL,12-18-2023
39,whitehorse,60.7161,-135.0538,-10.57,73,20,2.06,CA,12-18-2023
40,labytnangi,66.6572,66.4183,-14.97,96,100,5.1,RU,12-18-2023
41,thompson,55.7435,-97.8558,-16.91,85,100,2.06,CA,12-18-2023
42,margaret river,-33.95,115.0667,15.28,60,100,7.49,AU,12-18-2023
43,mitu,1.1983,-70.1733,27.66,84,100,0.62,CO,12-18-2023
44,dong ha,16.8163,107.1003,20.26,92,99,1.5,VN,12-18-2023
45,chinchani,19.8667,72.7,25.66,55,94,5.46,IN,12-18-2023
46,puerto natales,-51.7236,-72.4875,16.25,39,0,8.23,CL,12-18-2023
47,aroma,15.8167,36.1333,30.18,26,17,4.68,SD,12-18-2023
48,praia da vitoria,38.7333,-27.0667,18.2,100,75,5.61,PT,12-18-2023
49,utrik,11.2278,169.8474,26.65,76,10,11.17,MH,12-18-2023
50,akureyri,65.6835,-18.0878,-1.04,93,100,0.0,IS,12-18-2023
51,jamestown,42.097,-79.2353,3.64,95,100,8.23,US,12-18-2023
52,west island,-12.1568,96.8225,26.99,69,40,3.6,CC,12-18-2023
53,talnakh,69.4865,88.3972,-12.66,84,100,7.79,RU,12-18-2023
54,kitui,-1.367,38.0106,19.09,92,88,2.15,KE,12-18-2023
55,hermanus,-34.4187,19.2345,19.89,60,7,5.82,ZA,12-18-2023
56,hereford,52.0568,-2.7148,13.45,92,100,1.79,GB,12-18-2023
57,albany,42.6001,-73.9662,11.41,90,100,1.34,US,12-18-2023
